CNES,CO_INE,CO_CBO,MICROAREA
0000701,,324205,
0000809,,515215,
0000809,,322230,
0001058,,411010,
0001058,,411010,
0001236,0000153087,515105,
0000779,,411010,
2711923,,411010,
0000779,,324205,
0000779,,324205,
0000809,,322230,
0000825,0000152595,515105,
0000825,0000152595,515105,
0000876,0000152730,515140,
0000876,0000152765,515105,
0000981,,411010,
0001015,,411010,
6530389,,766420,
0001139,,411010,
0001139,,411005,
0001139,,411010,
0000477,,324205,
0000701,,324205,
0000701,,422105,
0000779,,411010,
0000825,0000152609,515105,
0000876,0000152773,515140,
0000981,,324205,
0001058,0000152919,515105,
0000701,,411005,
0000779,,515215,
0000809,,515210,
0000809,,322230,
0000825,0000152617,515105,
0000825,0000152617,515140,
7574223,0001549308,223405,
0000981,,515215,
0000981,,422105,
0001139,,411010,
0001163,,515140,
0001163,,422105,
0000752,0000152455,515105,
0000779,,411010,
0000809,,324205,
0000833,,322230,
0000906,,422105,
0000981,,422105,
0001015,,325210,
0001015,,422105,
0001163,,515140,
0000779,,411010,
0000779,,411010,
0000809,,352210,
2802783,,322230,
0000809,,322230,
0000809,,515215,
0000809,,322230,
0000833,0000152633,515140,
0000779,,221205,
0000779,,223415,
0000809,,322230,
0001163,0000153044,515105,
0000701,,411010,
0000760,0000152463,515105,
0000760,0000152471,515105,
0000760,0000152471,515105,
0000779,,324205,
0000779,,324205,
2711613,,324205,
0000809,,324205,
0000809,,515215,
0000957,,515105,
0000981,,324205,
0001082,,411010,
0001236,0000153109,515105,
0001236,0000153117,515105,
0000760,0000152498,515105,
0000809,,422105,
0000809,,515215,
0000779,,324205,
0000809,,411010,
0000841,0000152668,515105,
0000957,0000152854,515140,
0000957,0000152854,515105,
0001163,0001557718,515105,
0000809,,322230,
0000981,,411010,
0000981,,422105,
0001015,,411010,
0001082,,411010,
0001163,0001557866,515105,
0001163,0001557866,515105,
0000655,,324205,
0000779,,324205,
0000809,,411010,
0001015,,411010,
0001082,0000152943,515105,
0001082,0000152943,515105,
0001082,0000152951,515105,
0001082,0000152951,515105,
0000779,,324205,
0000809,,322205,
0000809,,515215,
0000817,,411010,
0000817,,515140,
0000868,0000152684,515105,
0000868,0000152684,515105,
0000981,,324205,
0000701,,411010,
0000809,,324205,
0000809,,515215,
0000809,,515215,
0000809,,515215,
0000809,,515215,
0000868,0000152692,515105,
0000868,0000152692,515105,
0000477,,322205,
0001015,,411010,
0001015,,325210,
0001198,0000153060,515105,
0000809,,322230,
0000868,0000152706,515105,
0000981,,422105,
0001015,,411010,
0001236,,515140,
0001236,,411005,
0000809,,422105,
0000647,,411010,
0000655,,224130,
0000558,,422205,
0000604,,411010,
0000612,,422105,
0000655,,411010,
0000655,,322205,
0001015,,322205,
3862836,0002401274,322205,
0000655,,322205,
0000477,,322230,
0000477,,324205,
0000604,,324205,
0000590,,411005,
0000590,,322405,
0000612,,411010,
0000647,,411010,
0000655,,411010,
0000590,,422105,
0000590,,411010,
0000604,,411010,
0000612,,411010,
2802783,,322205,
0000655,,322205,
0000779,,324205,
0000477,,324205,
0000477,,322205,
0000671,,322230,
0000477,,322230,
0000655,,322205,
0000396,,322205,
0000655,,322205,
0000655,,322205,
0000655,,322205,
0000531,,411010,
0000531,,411010,
0000590,,322230,
0000655,,322205,
0000655,,322205,
0001996,,322205,
0000655,,411010,
0000477,,411010,
0000620,,411010,
0000639,,515140,
0000655,,322205,
5656893,0000155977,322245,
0000655,,322205,
0000507,,411010,
0000639,,322205,
0113964,,322230,
0000655,,322205,
0000655,,322205,
0000507,,411010,
0000604,,411010,
0000639,,322230,
2802783,,322230,
0000426,,322205,
0000655,,322205,
0000639,,515105,
0000655,,322205,
0000531,,411010,
0000590,,411010,
0000655,,322205,
6983480,,322205,
0000655,,322205,
0000612,,422105,
0000639,0000152420,515140,
0000639,0000152420,515140,
0000639,0001476459,515140,
0000639,0001476459,515105,
0000639,0001476459,515140,
0000655,,322205,
0001058,0001557858,515140,
0001163,0000153044,515105,
0001163,0000153044,515105,
0000701,,515215,
0000779,,324205,
0000655,,322205,
0000701,,422105,
0000655,,322205,
0000655,,411010,
0000655,,322230,
0000655,,325115,
0000655,,322230,
0000655,,322205,
2802783,,322205,
0000701,,422105,
0000809,,515215,
0000655,,224130,
0000655,,322205,
0000655,,322205,
0000655,,322205,
0002143,,322205,
0000655,,322205,
0000655,,422105,
0000655,,322230,
0000655,,224130,
0000655,,322205,
0000655,,322205,
0000655,,322205,
0022438,0000154008,515105,
0000671,,411005,
0000701,,411010,
0000655,,322230,
0000655,,322205,
0000655,,322230,
0000655,,224130,
0000655,,322205,
0000655,,322230,
0000655,,322205,
0000655,,515215,
0000655,,224130,
0000655,,322205,
0000655,,322205,
0000655,,322205,
0000655,,411010,
0000655,,322205,
0000655,,322205,
0000671,,322415,
0000655,,322205,
0000655,,322205,
0000655,,322205,
0000655,,322205,
0000655,,411010,
0000655,,322205,
0000655,,322205,
0000655,,411010,
0000655,,322230,
0000655,,224130,
0000655,,411010,
0000655,,322205,
0000655,,322205,
0000981,,322205,
2802783,,322230,
0000701,,322230,
0000655,,422105,
0000655,,322205,
0000531,,322230,
0000558,,411010,
0000558,,411010,
0000590,,422105,
0000612,,411010,
0000655,,322205,
0000477,,322205,
0000477,,515215,
0000779,,324215,
0000612,,411010,
0000477,,411010,
0000418,,322230,
0000418,,411005,
0000418,,411010,
0000418,,322205,
0000418,,515215,
0000418,,411005,
0000418,,411005,
0000418,,322230,
0000418,,411005,
0000418,,515215,
7775504,,223305,
0000418,,322205,
0000418,,322230,
0000418,,322205,
3983730,,322230,
0000396,,411010,
0000396,,325115,
0000396,,324205,
0000396,,411010,
0000418,,322205,
7775504,,322205,
0000418,,322230,
0000418,,422105,
0000418,,322205,
0000418,,322230,
0000418,,322230,
0000418,,322205,
0000418,,322230,
2427427,,322205,
0000418,,322205,
0000418,,322205,
0000418,,322205,
0000418,,325115,
0000418,,322205,
0000418,,322205,
0000418,,322230,
0000418,,322205,
0000418,,422105,
0000396,,411010,
0000396,,422105,
0000396,,411010,
0000396,,422105,
0000396,,515110,
0000396,,324205,
0000396,,324205,
0000396,,325115,
0000418,,422105,
0000418,,322205,
0000418,,322205,
0000418,,322230,
0000418,,322205,
0000655,,224130,
0000418,,411010,
0000418,,322230,
0000418,,422105,
0000655,,322230,
0000655,,322205,
0000655,,322230,
0000671,,411010,
0000671,,411010,
0000671,,411010,
0000655,,411010,
0000655,,322205,
0000655,,322205,
0000655,,422105,
0000655,,411010,
0000655,,322230,
0000655,,322205,
0000655,,322205,
0000655,,322205,
3153584,0000155209,515105,
3302008,0000155284,515105,
3007995,0000154962,515140,
3562581,0000155519,515105,
2802783,,325115,
3037096,,411010,
3037096,,411010,
3302008,0002425165,515105,
3470261,,515140,
3562581,0000155519,515105,
3562581,0000155527,515105,
3301974,0000155233,515105,
3301974,0000155233,515105,
3302016,,131210,
9069569,0002435780,515105,
7992955,,411010,
7992955,,411010,
7992955,,411010,
9069569,0002435799,515105,
9069569,0002436965,515105,
7992955,0000153656,515140,
7992955,0000154407,515105,
9384324,0002401312,515105,
7992955,0000154407,515105,
7993412,,411010,
9890327,0001690698,515105,
7993412,,411010,
7993412,,422105,
9069569,,411010,
7958838,,322225,
9069569,0000155403,515105,
7958838,,411010,
9069569,0000155403,515140,
7958838,,322205,
0000396,,325115,
0000396,,411010,
0000396,,411010,
0000396,,325115,
0000426,,325115,
0000396,,325115,
0000418,,322205,
3983730,,322205,
0000418,,322205,
0000418,,322230,
0000655,,322205,
0000418,,322205,
0000418,,322205,
0000809,,515215,
0000418,,515215,
0000418,,322205,
6983324,,322205,
0000418,,422205,
0000418,,322205,
0000418,,322205,
0000418,,322205,
0000418,,322205,
0000418,,322230,
0000418,,515215,
0000418,,322205,
0000418,,322230,
0000655,,322205,
0000418,,221205,
0000418,,322205,
0000477,,322205,
0000418,,322230,
0000418,,322230,
0000418,,515215,
0000418,,422105,
0000396,,131210,
0000396,,225136,
